k	rt_srk	rt_esrk	rt_hb_double_inexact	rt_hb_opt_beta	rt_hb_beta_0.1	rt_hb_beta_0.2	rt_hb_beta_0.3	rt_hb_beta_0.4	rt_hb_beta_0.5	rt_hb_beta_0.6	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
1	0	0	0	0	0	0	0	0	0	0	0.178749213208258	0.0534150125243534	0.0512466380334688	0.0612698678613939	0.1563759393458	0.136881900700872	0.114161357240025	0.0911268378625443	0.0742656961940898	0.0591151749027319
3781	0.0388467469999999	0.215875843	0.056026608	0.319168767	0.0569935239999999	0.0482233440000001	0.046320424	0.0461801739999999	0.047423821	0.0461178709999999	0.0665893969610542	0.013787007027564	0.016329352968093	0.0168761244807137	0.0605437834477344	0.0544987336871413	0.0444377381799364	0.0367083624033764	0.0279183233759866	0.0228174747769057
7561	0.0718731430000001	0.386987094	0.101568544	0.599369385000002	0.106121592	0.0917044950000002	0.088271871	0.0875335709999999	0.0887433610000003	0.0874865449999998	0.0351727436083761	0.00870446730388806	0.0090257670272165	0.0106058844328528	0.0296815459452498	0.0253819242223753	0.0226911501291237	0.02062967993569	0.0173198130046346	0.0118582544584841
11341	0.104570176	0.551703456999999	0.146776338	0.878635847	0.155209674	0.134946909	0.129361115	0.128736424	0.12979176	0.127893403	0.0226336842898069	0.00680845854694155	0.00742676078721831	0.00773964175985505	0.0206015539837894	0.0192518438192943	0.0151099339462956	0.0126016001937103	0.0110398048494989	0.00886466522767463
15121	0.138808263	0.720943162	0.193017664000001	1.163446135	0.205496039	0.179598769999999	0.200432021000001	0.171224227000001	0.179586835999998	0.169810763	0.0195245320240871	0.00966658270486765	0.0111307176538177	0.0103265628198103	0.0165895512274644	0.0144900529507274	0.0136533255324528	0.0136174282960849	0.0140354096710903	0.0138843177855517
18901	0.172242187	0.886419746000001	0.238810547000001	1.436601371	0.255149506	0.223496608999999	0.242814831	0.212918282000001	0.221777882999998	0.211049692	0.0134113251610538	0.00505622841431549	0.00537473512630963	0.00633741773463458	0.0121336157183625	0.0108466209685641	0.0098142980714067	0.00873861572537368	0.00704791515862832	0.00585136102406339
22681	0.205967156	1.052797523	0.285196107000001	1.718603269	0.305362958	0.268099546999999	0.285696374	0.255624689000001	0.264258203999999	0.253409622000001	0.0112176246284892	0.00449285847282203	0.00406342646131746	0.00442344963561852	0.0102233652812605	0.00924483209156757	0.00837857565084186	0.00663520634792685	0.00585043668795588	0.00473326564888541
26461	0.238660537	1.215423869	0.330208044000001	1.992129112	0.353904174999999	0.311085366999999	0.327294714000001	0.297085911000002	0.304991527999999	0.294493661000001	0.0101517230032	0.00403310827150829	0.00392687152353032	0.00410150726787982	0.00922049954766656	0.00851722990718905	0.00727227571478737	0.00625290379550899	0.00550493575839087	0.00436317105158275
30241	0.272829013000001	1.384742782	0.376921040000002	2.270844907	0.404655798999999	0.355945508999999	0.370557982	0.339800243000002	0.347110673999999	0.337025391000001	0.00992126611243762	0.00468866670114228	0.00489890995902135	0.00504789442628548	0.00956631276174793	0.00913551393974709	0.00874019068497785	0.00838918675284691	0.00785801418369657	0.00702342604052293
34021	0.305932047	1.54948672099999	0.422814599000003	2.54436434699999	0.454578107999999	0.399635255	0.412984139	0.381748492000003	0.388867879	0.378509397000001	0.00828814404004798	0.00265771744352295	0.00283238283723702	0.00318304669063628	0.00774716353255963	0.00631606219777315	0.00569042304354141	0.00504835409003008	0.00425855421657894	0.00334074119641921
