k	rt_srk	rt_esrk	rt_hb_double_inexact	rt_hb_opt_beta	rt_hb_beta_0.1	rt_hb_beta_0.2	rt_hb_beta_0.3	rt_hb_beta_0.4	rt_hb_beta_0.5	rt_hb_beta_0.6	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
1	0	0	0	0	0	0	0	0	0	0	0.107914415452569	0.0889208761099618	0.088203547611552	0.0902936654906381	0.102860401756834	0.0976277148441107	0.0939396051839048	0.0935418629096238	0.097476168415588	0.196236690497375
10001	0.110180233	0.462962614999999	0.181242408	0.480357881999999	0.174730144999999	0.152119107000001	0.148010932	0.146068923	0.144517141	0.144904363	0.0399522652632494	0.0302533069393444	0.0305528275881379	0.0284597864788161	0.037882020977294	0.0351251755557227	0.0331849821836539	0.0307371583469965	0.0396638110397619	0.18842565068035
20001	0.197276831000001	0.822638155999995	0.318998332000003	0.859547311999996	0.317863293999997	0.280808584000001	0.273157681	0.270660240000001	0.269236897999999	0.26969326	0.0313782487404497	0.0222609844981667	0.0241020739885127	0.0221307419167982	0.0297041506506941	0.0287652271979387	0.0284896761921716	0.028551208822651	0.0331234614394623	0.152078716923611
30001	0.298194459999999	1.232804088	0.477449880000001	1.279504313	0.480669913999994	0.425212349	0.412474164000002	0.408357791999998	0.406933913999999	0.407638358999998	0.026713293205136	0.0190085469523668	0.0201294257514211	0.0206672846614757	0.0263011492621045	0.0261312195494613	0.0258098829137434	0.0257930334133478	0.0280714147842144	0.148637412499562
40001	0.383158997	1.579156362	0.612595149999999	1.64679859399999	0.620903570999998	0.552338332	0.536536583	0.531170933000002	0.529178279999999	0.530599281999995	0.0245604662397404	0.0173734627265164	0.01980366190275	0.0190552699959458	0.0241593299032954	0.0234424793010837	0.022612966809021	0.0200103868676692	0.021493020170632	0.180180423113244
50001	0.469532078000005	1.92948616899999	0.748994521000002	2.014249435	0.762510487000006	0.681642224999998	0.662137090999999	0.655324986	0.654491616000002	0.655452376999995	0.0248122005671588	0.0147756012883251	0.0206058557901425	0.0167737440891513	0.0247451931918842	0.0245037526545786	0.0210482318156043	0.021194826929812	0.0202169758120999	0.154221636262557
60001	0.554598784000003	2.27825640199998	0.883785013999997	2.37705386699997	0.902817318000007	0.808722314999997	0.786172614999993	0.778492109999998	0.776851543000002	0.778052958999995	0.0222056512175838	0.0137153502095216	0.0150214395783341	0.0137388970978445	0.0209888515376064	0.0197702770018714	0.0190534310092642	0.0208449315396524	0.0231681929889536	0.13262199576513
70001	0.640357599000002	2.62390387399998	1.019118408	2.73279704099997	1.04285185900001	0.935994027	0.909470894999993	0.901222650999998	0.899208009000006	0.900345316999993	0.0198314949738592	0.0142695227953655	0.0145316764533064	0.0142429616328351	0.0188329295339092	0.0183179843723502	0.0179739052773368	0.0168556198624307	0.0189278485371323	0.160686570038159
80001	0.730551470999998	2.99690465899999	1.16222824600001	3.10857688499997	1.19176980900001	1.070699981	1.04001058499999	1.031062022	1.02922777700001	1.03053856999999	0.0230159819808466	0.0117022587305241	0.0152811254325661	0.0103801690086438	0.0238430800194102	0.0233871637452403	0.0219314665222593	0.0216145880436816	0.0213534027133596	0.205515664662107
90001	0.818269302999994	3.35411169199999	1.301498874	3.47230478699998	1.33680299000001	1.20217566200001	1.16757543599999	1.15760806900001	1.15521870600001	1.15729393499999	0.0182446725067285	0.0117280958407284	0.0129671765939996	0.00876959796806557	0.0171438890156529	0.0161507471708691	0.0154367002929605	0.0154429390675024	0.015454456850417	0.183841692628479
