k	rt_srk	rt_esrk	rt_hb_double_inexact	rt_hb_opt_beta	rt_hb_beta_0.1	rt_hb_beta_0.2	rt_hb_beta_0.3	rt_hb_beta_0.4	rt_hb_beta_0.5	rt_hb_beta_0.6	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
1	0	0	0	0	0	0	0	0	0	0	0.687260095928357	0.590993478078023	0.532301843877387	0.62076611499241	0.686711247134033	0.657362551190116	0.632241033251034	0.622390384890528	0.620222273178072	0.604007172277194
101	0.002312097	0.011645991	0.003485434	0.008078642	0.003955598	0.002154693	0.002535301	0.002006635	0.001892649	0.001975003	0.586012331189678	0.246689235498363	0.210371410224394	0.296043496986507	0.574169641139535	0.508505425780055	0.45543263047357	0.41133964695917	0.397868973786032	0.328566570334234
201	0.00383324	0.015158009	0.00560108	0.011566258	0.00555194	0.003506729	0.003969314	0.003414772	0.003195354	0.004511364	0.393738055439989	0.298503346803333	0.192543852652306	0.298111035211414	0.382277243370095	0.365906757131737	0.301595599129317	0.233444862125783	0.22220862262825	0.194762567738008
301	0.005777943	0.020231952	0.007915233	0.015866914	0.00752834799999999	0.005573145	0.005553618	0.005320052	0.005272687	0.006093181	0.34639955558814	0.233789838642408	0.145957228849074	0.252613755469623	0.327579538471321	0.278125364175563	0.229329627503021	0.195379934979192	0.17611608909436	0.158022086120646
401	0.007109748	0.023622034	0.00996047600000001	0.01889687	0.009440657	0.00742788899999999	0.007208726	0.00688878	0.00669296600000001	0.007688893	0.222264938573817	0.176744117996679	0.126219351287377	0.17513625452496	0.207235654613239	0.200922707195749	0.178901494797841	0.153305952283184	0.156270818021328	0.15867504193291
501	0.008350538	0.027281365	0.01244777	0.022588382	0.011215211	0.00895311999999999	0.009610196	0.008415974	0.008082631	0.009288029	0.181202602837037	0.159219844015423	0.120981016982833	0.133695277691376	0.173233043942724	0.167460112275847	0.153302952270448	0.147164347974374	0.140994107820741	0.129114319683238
601	0.00904513899999999	0.029125609	0.013766223	0.024162742	0.012399715	0.00992363199999999	0.010544228	0.00937744500000001	0.009025162	0.010278571	0.174416686206362	0.328862964692465	0.225320118583128	0.307942323346069	0.172941851241331	0.180188645091975	0.189733027230181	0.199110953567864	0.210671324218142	0.228305391972518
701	0.009701545	0.03084047	0.014903885	0.025674992	0.013409013	0.0109168	0.011460657	0.010357085	0.009897613	0.011113054	0.118238061252551	0.0859215318561773	0.0591625947831695	0.0622610045597781	0.111485579873521	0.106397567434457	0.101027793523866	0.0951176754214034	0.0819961052115209	0.104812055776903
801	0.010257407	0.032390393	0.015882007	0.027097524	0.014261926	0.011704954	0.012256581	0.011133666	0.010671387	0.011860254	0.116361768854611	0.0716060812505862	0.0580957711737729	0.0599379565826391	0.11032785789493	0.104901380778184	0.0998341121721982	0.0943037535627902	0.0792340424062294	0.101017093682468
901	0.010971566	0.034282775	0.017063076	0.028865196	0.015478986	0.012653323	0.013283497	0.01204614	0.011768097	0.012772724	0.108375210217335	0.0662175059985386	0.0567800498549551	0.0560665960011073	0.104013478295042	0.0996182006916871	0.0957542599371029	0.0861750803507333	0.0754073623634618	0.0987578733380988
1001	0.011474807	0.035771522	0.017943471	0.029917847	0.016274982	0.013339049	0.013997007	0.012720656	0.012432419	0.01343524	0.108990929191827	0.0590616458437497	0.0564371337547529	0.0565056562471952	0.104782533618571	0.100393069065722	0.0958267845243197	0.0827257582487119	0.0757035729834608	0.0988762002735403
1101	0.012600371	0.039323143	0.019621937	0.031369503	0.017882412	0.014536835	0.015197376	0.013918	0.013569255	0.014865163	0.105482261876318	0.0581778676928358	0.0563949971501985	0.0554574580949486	0.101761703041249	0.0948555497226303	0.085495642348205	0.0814557210140124	0.0747554164526496	0.0977268395117769
1201	0.0133557	0.041076416	0.020730037	0.032426594	0.018902954	0.015513274	0.016153737	0.014918139	0.014557212	0.01588427	0.105347354303795	0.058431676171088	0.0563398378061006	0.0553463540184416	0.0936476673187775	0.0891720585320502	0.0849448559968901	0.0809673040881939	0.0739913633262152	0.100614723048094
1301	0.014072314	0.043040991	0.021958088	0.033669728	0.020003425	0.016636382	0.017191911	0.015957667	0.015658173	0.016926125	0.0899939674038215	0.0324775270547319	0.030587037090057	0.0220454424599887	0.0797682713451447	0.0748991583179812	0.070242429889119	0.0663398640205555	0.0569509893706813	0.0858410380157804
1401	0.014860809	0.0450999669999999	0.023290029	0.035436424	0.02119568	0.017748167	0.018226061	0.016953838	0.016712608	0.018012812	0.0862498603971103	0.031422671595601	0.028977626428011	0.0164091960108351	0.080113704742696	0.0741664425538838	0.0679443178533713	0.062514789078205	0.0520005608752675	0.0834529200258019
1501	0.015505635	0.0464084789999999	0.024415897	0.036393759	0.022185075	0.018665093	0.019191683	0.017850859	0.01763949	0.018912565	0.0808658253005501	0.0299304465410319	0.0284788885985739	0.015459199817106	0.075732874147179	0.0706360685444322	0.0662151686649361	0.0620260268205625	0.0517646933833705	0.0828116775490941
1601	0.016255902	0.0484723149999999	0.025683016	0.037871519	0.023340242	0.019658738	0.020173165	0.018857694	0.018629746	0.019880741	0.0810123071252901	0.0284190142795554	0.0283826841942045	0.0142453568649162	0.0761605922406974	0.0709569326038363	0.0659895763339493	0.0613531610311261	0.0509130132753101	0.0830972032091708
1701	0.017022033	0.0498920639999999	0.026837672	0.039280536	0.024501414	0.020686521	0.021140568	0.019887925	0.019660269	0.021086784	0.0817920882825939	0.0284188967211948	0.028382630710509	0.014233387319934	0.0766617534975644	0.0712490836174752	0.0661914390305454	0.0615479397350381	0.0506514590664085	0.0827086567605278
1801	0.017640338	0.0510106389999999	0.0278164990000001	0.040064426	0.025382636	0.021501135	0.0219437870000001	0.020679502	0.020449544	0.021887233	0.0785133178709678	0.0282956085965818	0.0283208462069639	0.0142732137271057	0.0741083937252751	0.0694287428862522	0.0652456580385222	0.0616120408979185	0.0511243575110487	0.0826607977476936
1901	0.01838609	0.0526417159999999	0.0289277660000001	0.041307557	0.026405426	0.022500256	0.0228155420000001	0.021562251	0.021426737	0.022746226	0.0717351455068541	0.0422857180491013	0.0211892758328487	0.0118765872149901	0.0687256391397969	0.0658108717259742	0.0624295810532252	0.0471097605860884	0.036952191565876	0.0780270191566223
2001	0.018923466	0.0542287899999999	0.0298657940000001	0.042345104	0.027230243	0.023249387	0.023553142	0.022287482	0.02214971	0.023465919	0.0674707455157454	0.0228193468524097	0.0158770255662358	0.0107413342656566	0.0630050121600943	0.0582044213843413	0.0539817725460599	0.0470861642268394	0.0371819625538555	0.0785282567384146
2101	0.022416204	0.0562651149999999	0.0311827760000001	0.043768606	0.028436373	0.024299763	0.025593704	0.02661087	0.023186635	0.024463039	0.0628206405124837	0.0211553083120554	0.0231681270814682	0.021194268938493	0.0590383241996959	0.0552344376499525	0.0524669242869171	0.0519699597488447	0.0462948697673207	0.0952021665951145
2201	0.024356183	0.0590721249999999	0.0332214590000001	0.046305319	0.029729242	0.025401329	0.028458341	0.028791111	0.024514867	0.025716923	0.0564100601840509	0.014511764230965	0.0141765267337918	0.00932106488081139	0.0514545173518082	0.0462767300447433	0.0417664445267922	0.0384022735959929	0.0285572352193797	0.0757529604923468
2301	0.025079555	0.0608995429999999	0.0344797460000002	0.047682043	0.041020742	0.026439463	0.029446175	0.029756392	0.025508575	0.026741162	0.0492752321246652	0.0115522970590374	0.016028339705237	0.0109965339194673	0.0441550070937442	0.0389829212460742	0.0337283698652447	0.0384318350791069	0.0446707583254077	0.0871900586602558
2401	0.025746873	0.0629884769999999	0.0356637930000001	0.04895121	0.042039688	0.027360127	0.0303585570000001	0.030653253	0.026406147	0.027634114	0.0488133081950977	0.0089862264093227	0.0118162684541763	0.00795277287002575	0.0438719514307444	0.0389053015616878	0.0324477480244433	0.031427116824929	0.0219348800068344	0.0743574246463933
2501	0.026452533	0.0648503029999999	0.0369799850000002	0.050433875	0.043118586	0.028309864	0.0314103680000001	0.031602753	0.027330361	0.028552055	0.0482080085978384	0.00916237258402745	0.011933400708436	0.00780283403864234	0.0433587847343641	0.0385140992324345	0.0317262379074973	0.0308283199633773	0.0218179588385642	0.0740803102904633
