k	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
1	1	0.862535815855218	0.883380469849717	1.25379024676951	0.983376793085656	0.955290429797526	0.924990141420266	0.895859727826736	0.878330234219527	0.906276991305668
11	0.91478423795169	0.862535815855218	0.878679527699404	0.931518902687157	0.899816409773854	0.889299133630202	0.881951999025296	0.878515049928	0.878033221645425	0.881642456735967
21	0.91478423795169	0.772524820168741	0.830955816998339	0.87168715628516	0.899816409720045	0.889299114517354	0.881951613632191	0.878513759369639	0.878033363868527	0.87793809572035
31	0.887360464234464	0.816929003833186	0.833026204062293	0.901965795759069	0.882375233116673	0.879622500568127	0.878349870255543	0.852811881303278	0.80736749697106	0.787565475791361
41	0.887360464234464	0.816929003833186	0.836765585879935	0.887951705947673	0.882375233008282	0.879622486981686	0.878349765002285	0.852797441960882	0.80724421049585	0.787429950251479
51	0.887360464234464	0.764130062290971	0.787563097415375	0.835236291443245	0.882375233008282	0.879622486981685	0.878349765001664	0.852797440446867	0.807244090170539	0.78781173086797
61	0.831037832354154	0.700476765276618	0.765818624468003	0.757159503552189	0.805933940927489	0.780972502879171	0.759831802191956	0.749613729794508	0.734651693065547	0.737513456212086
71	0.831037832354154	0.665111793938036	0.743370970445437	0.743894406843359	0.805933468850239	0.780971499022509	0.759831235922065	0.742355577592911	0.727661722650114	0.739572042389473
81	0.831037832354154	0.665111793938036	0.75295760822301	0.743109082557402	0.805933468850239	0.780971499022407	0.759831235918879	0.74235486981895	0.727656766702708	0.725742450174306
91	0.831037832354154	0.610624002195993	0.696322011583819	0.675450521239218	0.805933468850239	0.771746436894779	0.736186465258376	0.704529326798689	0.665234536950736	0.656162251345807
101	0.799204235204197	0.47971403046498	0.689999734252014	0.647259549357789	0.751206617719125	0.691963243895165	0.63331141974644	0.612011564311926	0.623024232433943	0.652572811772875
111	0.669140943578379	0.359850671007525	0.410696407764431	0.431971372486728	0.637413502759015	0.599348140223658	0.551819921226089	0.509586943976569	0.477460538905064	0.496066672345436
121	0.651482430877983	0.278227015471885	0.26868071743178	0.35448273515292	0.628698812514575	0.596118241963868	0.55100677868465	0.50908223626025	0.474312590189465	0.481365449089246
131	0.635525065122155	0.277536125326494	0.264872628739089	0.315324173711803	0.620649910032916	0.59372201417288	0.551153367663794	0.509048195969307	0.474311059989058	0.478272277839557
141	0.635525065122155	0.277536125326494	0.265009258582686	0.289710317715944	0.620649909775361	0.593722029182903	0.551153504001478	0.509048164546797	0.474311060249866	0.478373473962472
151	0.635525065122155	0.255617307807307	0.264652535574092	0.287826648891956	0.620649909775361	0.593722029182905	0.52411606046524	0.420742398049065	0.3038080742275	0.26829044310271
