k	rt_srk	rt_esrk	rt_hb_double_inexact	rt_hb_opt_beta	rt_hb_beta_0.1	rt_hb_beta_0.2	rt_hb_beta_0.3	rt_hb_beta_0.4	rt_hb_beta_0.5	rt_hb_beta_0.6	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
11	0.000317392	0.004227009	0.00032981	0.000382673	0.00051673	0.000229795	0.000281129	0.000220585	0.000172554	0.000247746	1	0.998685501922091	1	0.998685501922091	1	1	1	1	1	1
21	0.000593556	0.004906456	0.000548043	0.001559036	0.000733045	0.000347618	0.000389539	0.000346449	0.000412697	0.000380403	1	0.9905406897946	0.990161359080808	0.9905406897946	1	1	1	1	1	1
31	0.000714316	0.005068035	0.000765968	0.001762988	0.000912075	0.000650488	0.000547271	0.000499841	0.000534614	0.000517794	1	0.924293377575788	0.977494313502155	0.978191360111915	1	1	0.997883963498462	0.992857144851085	0.988334243368789	0.984165924704184
41	0.0007954	0.005373847	0.000895309	0.001970948	0.001052249	0.000759715	0.000662014	0.000608159	0.000639703	0.000617303	0.931923713037475	0.902464093811497	0.89518899794145	0.890384264639896	0.921107452723521	0.912409323396896	0.907971931264785	0.915853109061216	0.959506232991691	1.08070365823366
51	0.000984076	0.005469193	0.001152487	0.002322159	0.001283731	0.000986805	0.000824814	0.000740062	0.000773583	0.000762691	0.931923713037475	0.902464093811497	0.89518899794145	0.890384264639896	0.92110745271832	0.912409320335519	0.907972035616288	0.915864945473765	0.959793434476066	1.08444453694374
61	0.001072178	0.005500293	0.001315527	0.002399821	0.001413696	0.001144424	0.000941211	0.000854431	0.000882212	0.000913443	0.899205682048672	0.88117977412684	0.868885487522454	0.871437376124006	0.900713692176591	0.907987584567267	0.918014287603471	0.930414297159245	0.94804696029588	0.961837680282983
71	0.001188953	0.005817821	0.00148137	0.00273637	0.001553257	0.001288545	0.001059397	0.000968177	0.001030075	0.001024296	0.89313693703268	0.820503657170754	0.807056492571781	0.809028940636052	0.883344660466166	0.878504420103353	0.876223178006208	0.877763859078763	0.890513062577917	0.923121314845487
81	0.001269833	0.005926327	0.00168578	0.002925058	0.001668947	0.001394342	0.001163473	0.001088586	0.001127946	0.001120025	0.890354204051544	0.814203917372345	0.800694229474067	0.801250092378799	0.882779369224133	0.880199123312404	0.87941173428873	0.879524987385024	0.882689652411634	0.887456513973044
91	0.00140802	0.006094878	0.001921237	0.003253024	0.001888543	0.001607179	0.00128375	0.001199478	0.001258758	0.00134643	0.890354204051544	0.814203917372345	0.800650997245777	0.801250092378799	0.882779369492403	0.880199177693412	0.879412745172105	0.879528282286006	0.8826379209347	0.886861939356942
