k	rt_srk	rt_esrk	rt_hb_double_inexact	rt_hb_opt_beta	rt_hb_beta_0.1	rt_hb_beta_0.2	rt_hb_beta_0.3	rt_hb_beta_0.4	rt_hb_beta_0.5	rt_hb_beta_0.6	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
1	0	0	0	0	0	0	0	0	0	0	0.0131110286744678	0.0158834143646609	0.017007473485075	0.0155832724279046	0.0132920372864006	0.0135972238327645	0.0139926513679244	0.0150562732477215	0.0761335296341959	0.758321645769396
10001	0.0654074340000001	0.193376043000001	0.108881048	0.199880233	0.0991730279999997	0.0883727929999998	0.0859042420000002	0.0848750199999995	0.0839540620000003	0.0848049750000003	0.0100102128558891	0.00907634876028229	0.00947028645545417	0.00885867598016868	0.0107378111159105	0.0115566009696682	0.0134695347782691	0.0165487593066018	0.0421869202750937	0.850217731469832
20001	0.125635718	0.369091747	0.211324138999999	0.382965258000001	0.192682283000001	0.172411729	0.167520017	0.165770362999999	0.164570772999999	0.165875735	0.00964395646650812	0.00910048911463295	0.0090528331367731	0.00870092428880433	0.0097131197448491	0.00990278819206699	0.0102511635769503	0.0110004104380984	0.0196043583801493	0.814570937356655
30001	0.196286716999999	0.590053698000002	0.33084744	0.56325867	0.301166298000002	0.268327208000001	0.260186071999999	0.257748174999999	0.257133461	0.257499667000001	0.00894073809125787	0.00850818498908662	0.00850206954458821	0.00804614172275057	0.00896630786106219	0.00899778159149882	0.00909712403170895	0.00960081581418964	0.0181243004939303	0.732522013840688
40001	0.283343765	0.884215410000006	0.470858695999999	0.751375683999999	0.427447462	0.391800399000003	0.364781794000001	0.363239936	0.361515501999998	0.367058559	0.0078595575891869	0.00742035909451236	0.00774819670563762	0.0069621954613384	0.00784619871950388	0.00784058842576604	0.00783754772963686	0.00793409979760181	0.0163857553072466	0.99201479835158
50001	0.367924805	1.18849798100001	0.617511183000003	0.917762571000001	0.562429838000002	0.507272002000001	0.474647284000001	0.472784456999997	0.473192217999999	0.476485472000001	0.0105164992087852	0.0105448798764136	0.0106846076281757	0.0100134573258208	0.0111646542571483	0.0121241585451217	0.0137746854415465	0.0175114674715578	0.0286000067361017	0.722060064605571
60001	0.436280517	1.42521752900001	0.734047586000005	1.048854272	0.668747555000002	0.600182982999999	0.564587644000003	0.563369737000002	0.562908241	0.566653869000001	0.00723708696242	0.00682417650103994	0.00686651546952693	0.00650023297620312	0.00726397576479047	0.00731580590802353	0.0073907987716665	0.00763186069366926	0.016213335531778	0.808860426563248
70001	0.499986928999997	1.64616634100002	0.843633791000009	1.157331141	0.769354088999999	0.690811877999999	0.652517635000007	0.650998084000001	0.650564196999993	0.654239709999994	0.0103325506490449	0.0101835318044275	0.0101771688714831	0.00972215722619421	0.0112257401799634	0.0123955107610866	0.0138482241222867	0.0152767884813561	0.0265808000688443	0.782852630147281
80001	0.562028915999995	1.85409918600003	0.950953549000004	1.263474289	0.867893070000001	0.779630849999997	0.739298158000005	0.737181151999999	0.736646664999988	0.740706054999994	0.00779613034739608	0.00774577970907145	0.00757967081828247	0.00739253817462376	0.00815240324247702	0.00881084801102626	0.00995691426116893	0.0126061284012402	0.0190537280454352	0.727700021014519
90001	0.622989975999996	2.05335977000002	1.055870937	1.36495137599999	0.964184028999998	0.866871498	0.824199045000008	0.821815039	0.820848446999985	0.825398817999999	0.00731073533656392	0.00686413275420735	0.00698692371308719	0.0253866786090601	0.00736064054568471	0.00744583436531167	0.00757188692737714	0.00893385968523401	0.0225804180226042	0.703583330168509
100001	0.68382729499999	2.24840022000003	1.16071305999999	1.47969633	1.060434507	0.953764982	0.909388765000008	0.906193789000005	0.904908971999984	0.909381735999996	0.00962284746568643	0.0100953836633009	0.00906706957485365	0.0096281865669167	0.0102374377950112	0.0110482834118051	0.011970977432428	0.0124370348773904	0.0167479655270041	0.723386961526743
110001	0.745486209999986	2.44468395300002	1.26769327499998	1.58426217599999	1.158372165	1.04258602399999	0.995714300000008	0.991856797000003	0.990858704999986	0.995086103999998	0.00911405667999223	0.00925685032671503	0.00871262783306333	0.00865988996879819	0.00970350322973092	0.0105789427742198	0.0119433587643385	0.0145328496302466	0.0364002123884208	0.806006482396747
120001	0.806728171999984	2.633715432	1.37388555399998	1.69182700999999	1.25591074599999	1.13091329100001	1.08223691900001	1.07776998100002	1.07645695899999	1.080844061	0.00718707879223386	0.0067871978177461	0.0103734741636118	0.00630269314436986	0.0074639073337886	0.00800586402337435	0.0087706037282702	0.00979861873601368	0.0153615251674174	0.742717978795617
130001	0.867511727999981	2.83422192999999	1.47911312399998	1.79060349799999	1.352573092	1.217786699	1.16752499200001	1.16265616300002	1.16067815399998	1.16497307	0.00689263542271469	0.00671641358504956	0.0066299535657985	0.00616723176177177	0.00706280552078354	0.00749096571105217	0.00846474197977764	0.0103470168563245	0.0128208425975828	0.713665787136386
140001	0.929543461999982	3.04105231799999	1.58623144999998	1.89475992399999	1.454988006	1.31393449299999	1.25412434800001	1.24815303400002	1.24637606599998	1.252265749	0.0067247196128885	0.00658644975944843	0.00651651565281958	0.00612097551967475	0.00707611454149685	0.00763139479614748	0.00835782478396234	0.00930005707830282	0.0159081885438324	0.725629745768263
150001	0.991841533999985	3.24063699999999	1.69420771199997	1.99685443499998	1.55356856599999	1.40276961899999	1.34105919100002	1.33446990500002	1.33256460099998	1.33865992199999	0.00669060829396772	0.00653572863790431	0.00634453592123282	0.00606419789015068	0.00667490586829857	0.00658941355134338	0.00646792410708512	0.00666209661536989	0.0138749106928265	0.728075220837934
160001	1.05328727199999	3.432909012	1.80045820099997	2.09764563899999	1.650931165	1.49082744899999	1.42743829900002	1.41976553900003	1.41732511999998	1.42334597999999	0.00748658269749779	0.00759085777798908	0.00727835889168551	0.00718390834606167	0.00753107330000544	0.00765805992185181	0.00805335906938832	0.0093638494825885	0.0176619345858272	0.709646382317316
