k	rt_srk	rt_esrk	rt_hb_double_inexact	rt_hb_opt_beta	rt_hb_beta_0.1	rt_hb_beta_0.2	rt_hb_beta_0.3	rt_hb_beta_0.4	rt_hb_beta_0.5	rt_hb_beta_0.6	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
1	0	0	0	0	0	0	0	0	0	0	0.236623060715174	0.16675108339532	0.152418277113095	0.16340748280326	0.225805724930291	0.218129898956517	0.21249688949285	0.209227884169179	0.211570381109543	0.25949189871676
10001	0.176929553	0.643708790000001	0.233302998	0.685904601999997	0.286593896999999	0.262285240000001	0.25703551	0.259419924000001	0.259503729999999	0.256833583000001	0.0887149551442353	0.0571829690901049	0.0539411719413782	0.0586488453238809	0.081673389017413	0.0756616188165075	0.0704838070963624	0.0650014557987202	0.062460089413254	0.0895708447523995
20001	0.356875083999999	1.27524684700001	0.475712003	1.37519578599999	0.581628720000002	0.533555298000001	0.524423215999998	0.530340477000003	0.529748233999999	0.526638878999997	0.0600956880173055	0.0372161587919422	0.0357382495020362	0.0356675398729662	0.0565974021692334	0.0524510611506065	0.0482640160179731	0.0419052277976376	0.0387462003402612	0.0519283046978266
30001	0.540194829999997	1.911895238	0.722161042000003	2.055885784	0.883133977000005	0.810105091000001	0.796349713	0.804183377000001	0.805309400999998	0.801227507999995	0.0430130019474436	0.0286971642931427	0.0263779174276733	0.0278884683800657	0.0379276576679426	0.0336673038268746	0.030873747584803	0.0303840217969295	0.0316262352372437	0.0329552898426028
40001	0.729085220999991	2.56434790100001	0.978868330999998	2.72957116999999	1.19191356	1.095191361	1.077140912	1.086899817	1.090887161	1.085962423	0.0329783835523341	0.0258174318660776	0.0219514700534431	0.023904651809717	0.0309303548584294	0.0288595664385205	0.0283094867997356	0.0283515926637043	0.0274510313307412	0.0341477101604254
50001	0.915573661999988	3.21284783	1.23539095799999	3.38057615700001	1.50019645500001	1.380065771	1.35662042400001	1.37070111200002	1.37596982299999	1.37037963799999	0.026919655165615	0.0236409442519815	0.021325514317929	0.0219898451077738	0.0251976579498959	0.0240664606206781	0.0237991764032014	0.0241223925986437	0.0264901573060212	0.0368443983485262
60001	1.10622657799998	3.86534412399999	1.49939116999999	4.02952460500003	1.81433278900001	1.67105229100001	1.64267382200001	1.66100328100001	1.668800389	1.66344905699999	0.0261828948705738	0.02504057552887	0.0262856218214061	0.0262313484400444	0.0258250654589729	0.0258230797580755	0.0261544518477794	0.0261512901882199	0.0297749340310944	0.0343653019521516
70001	1.30082737099999	4.526748835	1.76858768599997	4.66791939400002	2.13651188500003	1.96765208700001	1.93548761800001	1.95693868500002	1.96815109599999	1.96336073399999	0.0234039252824225	0.0213803113676375	0.0195323258219604	0.0199954009718879	0.0232518526697184	0.0227226844045475	0.0221804438959628	0.0222907655492961	0.0234800180901587	0.0287402951448046
80001	1.49771019799999	5.19514726699999	2.04102407099997	5.28418281800001	2.46125215400001	2.26830111100003	2.23293813700003	2.25761368400003	2.27042349	2.26283873199997	0.0236292620384009	0.0200843803100877	0.0183352819760936	0.0193689271406583	0.023326026197721	0.0221484099030498	0.0215313643970721	0.0217971619759049	0.0222447189900364	0.0246077555093343
90001	1.69504914499998	5.86733507199998	2.31796313899996	5.90794812300003	2.78737096099999	2.57028025700001	2.53248710600005	2.56032216900004	2.57541471100001	2.56709487899999	0.0228553273458694	0.0203784248759616	0.0189163032122759	0.019905471983854	0.0223922705649522	0.0213078459502888	0.0210297890885907	0.0211574320909942	0.0232323612765117	0.0282912228896234
