k	rt_srk	rt_esrk	rt_hb_double_inexact	rt_hb_opt_beta	rt_hb_beta_0.1	rt_hb_beta_0.2	rt_hb_beta_0.3	rt_hb_beta_0.4	rt_hb_beta_0.5	rt_hb_beta_0.6	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
1	0	0	0	0	0	0	0	0	0	0	0.875297819694122	0.785806224873613	0.811914339017732	0.794084083938622	0.865158218961292	0.854660794221203	0.843144317604372	0.827593876254346	0.81626397657507	0.91637459527626
101	0.006449074	0.040510615	0.007009199	0.017539712	0.00479751	0.000953444	0.000913057	0.000841182	0.00344788	0.000791319	0.785735618739705	0.675656623844489	0.662769222441691	0.691903094899752	0.766574528366884	0.741292841748978	0.720011441763537	0.700930094820372	0.702922211825672	0.848751687417893
201	0.007194386	0.042840238	0.008114792	0.022178189	0.005842491	0.001809175	0.001788442	0.00179588	0.00425835300000001	0.001587313	0.700303399673219	0.499921165649994	0.496839139620135	0.482340715830037	0.673572407973514	0.638903247742315	0.599699993229047	0.562478762861437	0.563438708561596	0.814123239603757
301	0.007775142	0.0450823680000001	0.009114075	0.024618578	0.006762931	0.002568582	0.00252231	0.002508215	0.004973895	0.002336202	0.664418439801139	0.41361863847041	0.413780006349159	0.406989106789239	0.635423195329276	0.598962881784597	0.545103400483238	0.50081104703772	0.504147374486539	0.792842653369283
401	0.00884377299999999	0.0500874120000001	0.010811746	0.028751071	0.008382198	0.003923998	0.00386531	0.003810019	0.00619678	0.003600149	0.612814896658657	0.345820953173676	0.343923757818907	0.345344396998475	0.588755673309892	0.551630353152186	0.494086401888711	0.451443911059402	0.450676341595807	0.774997232789988
501	0.00948972599999998	0.0523916540000001	0.011910626	0.031433037	0.009325974	0.004764028	0.004706555	0.004624573	0.007002102	0.00439727599999999	0.529589366843146	0.296859393195334	0.293530639650849	0.304234402662298	0.492469167454091	0.454114909839235	0.41977996917908	0.411135760442814	0.440193275348685	0.762681030808477
601	0.010282389	0.0553852060000001	0.013147161	0.034484891	0.010474076	0.00584766499999999	0.005637434	0.00552827200000001	0.007892545	0.00527303499999999	0.438985127657528	0.286049650053848	0.27837491909397	0.28812780028394	0.402963389336447	0.373593893124001	0.34319251584206	0.333724134115751	0.396745361591303	0.722636522688865
701	0.010973907	0.057068835	0.014233988	0.037567299	0.011467601	0.00671630499999999	0.006448485	0.00630059200000001	0.008700821	0.00606419099999999	0.39555822222989	0.264620008233487	0.268385245521993	0.275597077022661	0.372327762011675	0.355098728059066	0.331155351598598	0.321638052493262	0.38159514260702	0.642487160219016
801	0.011518277	0.058524222	0.015172088	0.0399009370000001	0.012278339	0.00743324299999999	0.007137739	0.00713810900000001	0.00943523499999999	0.00674737099999998	0.390627540192657	0.264691203648273	0.267764490261792	0.274017424153244	0.368543816827682	0.350316074460917	0.320930558127907	0.304711802068945	0.360098444786237	0.593308428009444
901	0.012046461	0.0592517960000001	0.016099406	0.042233265	0.013060323	0.00814292199999999	0.007835473	0.00782644400000001	0.010140582	0.00746694699999999	0.35356349667369	0.261884788881927	0.264343549471193	0.270237500833085	0.344339779797095	0.339263404939925	0.316688341905206	0.293852619119108	0.348662487322019	0.571706234348733
