k	rt_srk	rt_esrk	rt_hb_double_inexact	rt_hb_opt_beta	rt_hb_beta_0.1	rt_hb_beta_0.2	rt_hb_beta_0.3	rt_hb_beta_0.4	rt_hb_beta_0.5	rt_hb_beta_0.6	res_srk	res_esrk	res_hb_double_inexact	res_hb_opt_beta	res_hb_beta_0.1	res_hb_beta_0.2	res_hb_beta_0.3	res_hb_beta_0.4	res_hb_beta_0.5	res_hb_beta_0.6
1	0	0	0	0	0	0	0	0	0	0	0.875297819694122	0.785806224873613	0.811916493176512	0.810586647789926	0.865158218961292	0.854660794221203	0.843144317604372	0.827593876254346	0.81626397657507	0.91637459527626
101	0.002654993	0.010912449	0.003239699	0.007824308	0.003045667	0.002742668	0.002265586	0.002077389	0.002802677	0.002731362	0.785735618739705	0.675656623844489	0.662768698691349	0.690255804792698	0.766574528366884	0.741292841748978	0.720011441763537	0.700930094820372	0.702922211825672	0.848751687417893
201	0.004302939	0.016572849	0.005973578	0.012368994	0.005562718	0.004588174	0.004016961	0.00386928	0.004471178	0.004557234	0.700303399673219	0.499921165649994	0.496838230397566	0.511528904555904	0.673572407973514	0.638903247742315	0.599699993229047	0.562478762861437	0.563438708561596	0.814123239603757
301	0.006490283	0.024953006	0.009159813	0.01908919	0.00880091	0.006992488	0.006313347	0.006553084	0.006874007	0.006806145	0.664418439801139	0.41361863847041	0.413782563776671	0.429107754574595	0.635423195329276	0.598962881784597	0.545103400483238	0.50081104703772	0.504147374486539	0.792842653369283
401	0.008029082	0.031468635	0.01178382	0.023801189	0.011223425	0.00860027199999999	0.007819895	0.008123073	0.00851127999999999	0.008261522	0.612814896658657	0.345820953173676	0.343927066676179	0.362783836942384	0.588755673309892	0.551630353152186	0.494086401888711	0.451443911059402	0.450676341595807	0.774997232789988
501	0.00929258699999999	0.035898556	0.013754102	0.0274448	0.01298833	0.010103315	0.00934733399999999	0.00952647499999999	0.00993962199999999	0.009640581	0.529589366843146	0.296859393195334	0.293529781508015	0.314063479274807	0.492469167454091	0.454114909839235	0.41977996917908	0.411135760442814	0.440193275348685	0.762681030808477
601	0.010644227	0.040017149	0.015893498	0.031124202	0.014686058	0.011573835	0.010663014	0.011048026	0.0112425	0.011012841	0.438985127657528	0.286049650053848	0.278334400422284	0.298160604145495	0.402963389336447	0.373593893124001	0.34319251584206	0.333724134115751	0.396745361591303	0.722636522688865
701	0.01168618	0.0426625190000001	0.017744301	0.033623637	0.016199628	0.012930001	0.011911242	0.012216639	0.012435862	0.012190911	0.39555822222989	0.264620008233487	0.268370948111955	0.268841670263413	0.372327762011675	0.355098728059066	0.331155351598598	0.321638052493262	0.38159514260702	0.642487160219016
801	0.012551818	0.044781416	0.019110518	0.035555997	0.017407996	0.014095783	0.013023621	0.013341207	0.013512477	0.013215167	0.390627540192657	0.264691203648273	0.267746375831662	0.267925841395358	0.368543816827682	0.350316074460917	0.320930558127907	0.304711802068945	0.360098444786237	0.593308428009444
901	0.013399141	0.046462991	0.020716602	0.037269765	0.018739562	0.015203553	0.014145541	0.014584098	0.014593048	0.01434035	0.35356349667369	0.261884788881927	0.264324267633911	0.261774376940445	0.344339779797095	0.339263404939925	0.316688341905206	0.293852619119108	0.348662487322019	0.571706234348733
