k	min_res_srk	min_res_esrk	min_res_hb_double_inexact	min_res_hb_opt_beta	max_res_srk	max_res_esrk	max_res_hb_double_inexact	max_res_hb_opt_beta	median_res_srk	median_res_esrk	median_res_hb_double_inexact	median_res_hb_opt_beta	quant25_res_srk	quant25_res_esrk	quant25_res_hb_double_inexact	quant25_res_hb_opt_beta	quant75_res_srk	quant75_res_esrk	quant75_res_hb_double_inexact	quant75_res_hb_opt_beta
1	0.145554783885574	0.101265492438378	0.100438764097829	0.109413878636055	0.239815657139665	0.200336889285097	0.196510646633891	0.247116425150678	0.174338334256745	0.128147876793025	0.127821602832545	0.137871477715587	0.164166770578198	0.115185432418487	0.11501988632284	0.126061794037135	0.199302158550411	0.142124123462643	0.140327949097797	0.155713826870878
1001	0.0566640797955631	0.0400467881334927	0.0371436952667342	0.0373591737184943	0.114116671780018	0.082002981201884	0.0771454474096329	0.0784406503849955	0.0835891996378535	0.0505495643919482	0.0504576398817679	0.0534732333349545	0.0752355711384329	0.047148165840958	0.0469654589182514	0.0478996445226786	0.0908257626314274	0.0568208698168256	0.0556521361809702	0.059240352443319
2001	0.0341836480836899	0.017924901049423	0.0171622045984996	0.0168597834025042	0.0646891169600958	0.0404876918167812	0.0410797879239769	0.0479786957893459	0.0510048192802594	0.0281921212378112	0.027366979547385	0.0266344592743975	0.0457775024371173	0.0232833029852387	0.0231250461955706	0.0239904849763819	0.0562291441572253	0.030841959733736	0.0303748583948842	0.0307728750821384
3001	0.0211027725372035	0.00964925130501118	0.00853822527439402	0.00844741183699046	0.0490258737676907	0.0258483801192351	0.0271194386451262	0.0311987129121707	0.0331935047136546	0.0157239366890317	0.0156441041146151	0.0161561684367535	0.0278768272885066	0.0138697843743976	0.0135991139340392	0.0131007201473418	0.038409307162743	0.0186738650295736	0.0185857541152973	0.0195515291078934
4001	0.0140170060518506	0.00589218851273759	0.00483508599003948	0.00527714450186803	0.0382497410985133	0.0180654232564105	0.018448185914745	0.0193288652426265	0.0236689323299801	0.0100235221686856	0.00967591965832573	0.0109782817932997	0.0189783729213991	0.0086207668451626	0.00820373610848079	0.0081019295556538	0.0278568439456732	0.0127849112413851	0.0124118686287386	0.012768555367205
5001	0.00975090667440763	0.00364185141985178	0.00288246791175885	0.00340279112079751	0.0324594031415451	0.0153251406448801	0.0137858678513663	0.013484399891831	0.017219700520532	0.00644310070371555	0.00634702073914467	0.00664456619895294	0.0131474470173227	0.00552096644133005	0.00524102740242984	0.00525629021612563	0.0201184938290812	0.00894721793592444	0.00855423259538013	0.0085016943620077
6001	0.00625555801432788	0.00259677832150477	0.00202504007762098	0.00193056399804305	0.02825508133694	0.0122219650130936	0.0110280136030547	0.0111289040726691	0.0128499297102565	0.00434071993358201	0.00413280524480561	0.00442306056844217	0.00990394358261865	0.00365068509744743	0.00350593808254674	0.00342129104628405	0.0150169137700086	0.00653774270606628	0.00638714525104115	0.00592802417187448
7001	0.00415956853306995	0.00160078363139185	0.00135772647932031	0.00119152102826762	0.0239874113890735	0.0101860949808426	0.00882064127954067	0.00828591879246089	0.00976290922345693	0.00332001615785858	0.0032145045956404	0.00306459784281855	0.00717678736641283	0.00245818275548927	0.00239866834489325	0.00236481179259418	0.0116983552834459	0.0047258947494746	0.00428415788951083	0.00410950496468182
8001	0.00288768442777126	0.00102181894141864	0.000791742310437555	0.000783636633630746	0.0207183249147606	0.00776434705558421	0.00698817146823489	0.00684639651022605	0.00769699073570506	0.00242276650881364	0.00233240011995457	0.00226593310314551	0.0055401850562974	0.00170860032980267	0.00167503693100591	0.00157055519673472	0.00949961292195268	0.00327580596044446	0.00297924571811095	0.00310829250500232
9001	0.00210136748050109	0.000639440553615032	0.000581851647720255	0.000473769418176459	0.0166066506567963	0.00583738805628717	0.00522707276875834	0.00537944743744234	0.00596069660530432	0.001818483008312	0.00167772893925204	0.00154837232436426	0.00398899499034974	0.0011221706302421	0.00109777224617026	0.00108983368455986	0.00776338780547642	0.0024791571943207	0.00238706184161332	0.00239307169315284
10001	0.00150945998919108	0.00041215646345165	0.00039757822009819	0.000335882938101948	0.0147003842248029	0.0052335700130545	0.00470837537398363	0.00408003373698864	0.00496280964751173	0.00137688146447242	0.0012790395947012	0.00120699761014893	0.00307375141973495	0.000775675946992688	0.000783275131588167	0.000772653956775114	0.00642532643095556	0.00190708133741015	0.0018021952126139	0.00180413630864526
11001	0.00117326579689029	0.000291825824747335	0.000273244783049063	0.000215972008247897	0.0126086523148535	0.00411123809855615	0.00375782933236744	0.00341814677974309	0.00388924090909655	0.000986209319202964	0.000968476921166986	0.000880700056532949	0.00242034984901709	0.000560501651696662	0.000520546707873366	0.000519232403058302	0.00534452697939886	0.00145672298242228	0.00141123105944745	0.0014132680200492
12001	0.000884889401344243	0.000202136842069912	0.000192445177853522	0.00014473526354507	0.0113088552295322	0.00341492652110934	0.00299186172046568	0.00245788364586086	0.00323982305869999	0.000754089738465948	0.000747072866733256	0.000680588170286499	0.00195552451289191	0.000381693565920016	0.000360792382127235	0.000372220954087037	0.00441575680573331	0.00109070225068705	0.00107959666009124	0.0010765813493177
13001	0.000610048301878551	0.000120769921966705	0.000114535527257995	9.30078583106803e-05	0.00995135144344149	0.00298472060584595	0.00265883934466404	0.00224910103459071	0.00269800660725937	0.000520140093795555	0.00051035224643425	0.00050208535845134	0.00152346889541025	0.000278154297593016	0.000263067893827161	0.000284119012095088	0.00372693090250932	0.000859012015643142	0.000853578051356056	0.000849485223105027
14001	0.000472306064625426	8.63246264133809e-05	8.24433548138061e-05	6.88665123583087e-05	0.00912362449267987	0.00249013616611383	0.00224081947632403	0.00196123782905527	0.00206023875534632	0.00038157556245506	0.000371375552618306	0.00036674610366198	0.00126899934062495	0.000191836171696824	0.000180519104124505	0.000197940841018912	0.00319697565002824	0.000683616796732425	0.00067775070797768	0.000689584397199082
15001	0.00037166050012822	6.23864723900553e-05	5.98512036240239e-05	4.80476237516373e-05	0.00832727428765636	0.0020563699830735	0.00194156703758035	0.00183821180301536	0.00169828811671056	0.000302300030073841	0.000287055245351769	0.000283957758690673	0.00100127575600988	0.000136632646724323	0.000130901116424558	0.000148593158445934	0.00275517789959448	0.0005747889237039	0.0005849411663716	0.000531772353969351
16001	0.000287276237383756	4.31800790171573e-05	4.06097909963532e-05	3.09517821608604e-05	0.00736008261231627	0.001874601801107	0.00173841508946283	0.00150701137128502	0.0014117584023151	0.000235690165151376	0.000233885904886976	0.000209273747357512	0.000825966432454476	0.000101978611468677	9.84264787000005e-05	0.000108978197477677	0.00240830817796574	0.000468661336691987	0.00046300115562363	0.000428693566624308
