k	mean_res_srk	mean_res_esrk	mean_res_hb_double_inexact	mean_res_hb_opt_beta	mean_res_hb_beta_0.1	mean_res_hb_beta_0.2	mean_res_hb_beta_0.3	mean_res_hb_beta_0.4	mean_res_hb_beta_0.5	mean_res_hb_beta_0.6	mean_res_hb_beta_0.7	mean_res_hb_beta_0.8	mean_res_hb_beta_0.9	mean_res_hb_beta_0.96
1	1	0.674029307574609	0.659598229577345	1.27699124528147	1	1	1	1	1	1	1	1	0.976932974323741	0.755411697233142
101	1	0.368721435218846	0.311456422957498	0.92540838381205	1	1	1	1	1	1	0.99751243930874	0.961470526842305	0.707029059651646	0.391405266565474
201	1	0.204336692800835	0.167101823731496	0.659152291527234	1	1	1	1	1	0.992949757229523	0.960669381791749	0.850097275232557	0.467368722859064	0.227486697435325
301	1	0.117452134409671	0.0901108249996284	0.447690648246245	1	1	1	1	0.992192803729525	0.962525505231754	0.901516677629993	0.710008020098903	0.339727926472518	0.139739609321979
401	1	0.0740045904161603	0.0611796121512162	0.329737654270064	1	1	0.999747200571565	0.98987455578527	0.964673932971466	0.919665526872353	0.808755726896492	0.549443308081512	0.252801137298609	0.0887127795853178
501	1	0.0560461558961252	0.0452679354080881	0.251198869503347	1	0.99802348141222	0.987534057175048	0.96563743837706	0.929202198859039	0.857498132335648	0.701628795989552	0.446283242434148	0.199762641843725	0.0611540916640017
601	1	0.0339187064019489	0.0329797440956733	0.195291873284983	0.996007273147589	0.986985961135318	0.967851092258268	0.936847140166835	0.8887517801555	0.781320668935042	0.585854682047311	0.377687247013832	0.152700991550839	0.0469643620977873
701	0.994005187851198	0.0257610059567278	0.0234167865570089	0.150547458214159	0.986407465536961	0.968802942610607	0.94256924401734	0.906201433814886	0.833714439188756	0.701210852955983	0.503787383126762	0.320746948397809	0.121445169086001	0.0348165815565689
801	0.985734485400193	0.0213154182355997	0.0153576997110506	0.102019331840458	0.968307769243023	0.944003466136496	0.918195885796746	0.866864959035189	0.77301801023119	0.616492479129431	0.440761533131892	0.274816237918644	0.0987041214701802	0.0297427832993884
901	0.969438994330843	0.0174174273838446	0.012746433304698	0.0852481878819667	0.947965847067288	0.925361936170548	0.886358417425436	0.81585424001481	0.701135432951197	0.541643102627945	0.398287044906061	0.239446325656147	0.0889764305417082	0.0241962719814792
1001	0.950063496495023	0.0156052983156257	0.00924606361163995	0.0654634795998265	0.929650737791081	0.89878474413588	0.849055940939628	0.759416910283721	0.631773742532593	0.484829998505334	0.357269648292441	0.208347274109764	0.0781177125383365	0.0172509357150617
1101	0.933464566323519	0.0143264891699781	0.00636636905440445	0.0523176984349574	0.908770690952413	0.871458403985397	0.803411590234449	0.701163451905492	0.571305055707044	0.439357631630724	0.312671184381413	0.182559899772009	0.0661886956354573	0.0140839531700721
1201	0.91489511663196	0.0117981405825862	0.00454279459148956	0.038325101650667	0.883423095147782	0.834653869934553	0.753431738156136	0.646420572399036	0.520101911288068	0.404580637237408	0.286037373651087	0.161420769151342	0.0566638010658341	0.0120257932492229
1301	0.893012975923822	0.0101709659496737	0.00411578864865068	0.031125032776341	0.854516333293647	0.790389832207911	0.700682272017412	0.590396631773356	0.474492680548916	0.375593476933244	0.261634936198725	0.141811158959934	0.0504133423730403	0.00965537869133112
1401	0.869221566412334	0.00869505581611125	0.00356943749424895	0.0242742393783204	0.818209973995075	0.743815057066162	0.651237902734353	0.539302487189619	0.437583055660586	0.338203870525927	0.240177516720891	0.124113334054536	0.0454797392695713	0.00841056266738445
