k	min_res_srk	min_res_esrk	min_res_hb_double_inexact	min_res_hb_opt_beta	max_res_srk	max_res_esrk	max_res_hb_double_inexact	max_res_hb_opt_beta	median_res_srk	median_res_esrk	median_res_hb_double_inexact	median_res_hb_opt_beta	quant25_res_srk	quant25_res_esrk	quant25_res_hb_double_inexact	quant25_res_hb_opt_beta	quant75_res_srk	quant75_res_esrk	quant75_res_hb_double_inexact	quant75_res_hb_opt_beta
1	1	0.259995665004476	0.341674133693151	0.848894225099384	1	1.07136935350114	0.98585242256697	2.02862819847667	1	0.677961326441838	0.671081907961251	1.29228679888473	1	0.546997924700332	0.538278487527771	1.09310862090348	1	0.79423230292734	0.769420455965079	1.41032977042523
101	1	0.146654177969119	0.124729486450015	0.354771361270481	1	0.75221186218848	0.54450046585895	1.49339007366852	1	0.355139447890894	0.285834251423957	0.91046104778345	1	0.249705759434218	0.223620625190759	0.714742681593083	1	0.45598844275458	0.406483486522146	1.1154354650787
201	1	0.0439676632543051	0.0310518914704323	0.339624380337629	1	0.469061111275171	0.383804557695067	1.10077499522681	1	0.186461178786426	0.161482735396926	0.63944928234875	1	0.141087636420417	0.128871414133812	0.543040876149227	1	0.2592242638119	0.197951633867648	0.747918157415298
301	1	0.00200510076594455	0.00827619136402907	0.132159385077598	1	0.376265747609037	0.2527236411058	0.787704380619378	1	0.103227999897534	0.0866421048001914	0.428118812490039	1	0.0568994304176683	0.0548442878693791	0.316291887760481	1	0.166768674515807	0.117621310980776	0.544306985939639
401	1	2.83867237043223e-06	0.000976046217822039	0.0771981612960236	1	0.209433623066937	0.178667220662294	0.658759651090921	1	0.0595769052253294	0.0526947169306758	0.31358342576842	1	0.0337355356528084	0.0331671921933462	0.212247810788551	1	0.117589350308605	0.086475006444645	0.426847204929022
501	1	9.94324132184985e-09	9.30245951051352e-05	0.0388191779383807	1	0.207187274872098	0.14851426191185	0.601531277645827	1	0.0421735326476309	0.0420965078972643	0.227013669652975	1	0.0091444921092099	0.0196174735834772	0.154093590199669	1	0.0907363269666325	0.0672111873514009	0.311395573978147
601	1	4.39163848311661e-11	1.50574685888137e-06	0.0190509851443144	1	0.154761457162511	0.108178452516163	0.56836863248725	1	0.0279476947509972	0.0309851491308883	0.174486878989968	1	0.00170113326517239	0.00714223557880472	0.116039555986469	1	0.0510585886878873	0.0541291448446023	0.229435493445658
701	0.86801118098952	1.45141178966683e-13	1.00342339524692e-07	0.0131976721958881	1	0.126149300528071	0.0960321123470592	0.438765652874348	1	0.0180180669930906	0.0241348473776657	0.134284794347491	1	3.53737924990832e-05	0.00103582542952581	0.0811841897854886	1	0.044873794822429	0.0379037755745802	0.18204574441729
801	0.79059063928059	7.31852112059122e-16	5.65603311596255e-08	0.00216074946485998	1	0.11387655373541	0.0496831237772547	0.335981028098603	1	0.00883521477100501	0.00795449336356146	0.0920026830002526	1	5.8872031569926e-08	0.000153948139779577	0.0457583166250633	1	0.0383024525289161	0.029364813817077	0.137248428989189
901	0.734488346348166	5.08468498813129e-16	7.70422886117163e-08	0.000137242696045854	1	0.079041509188593	0.0525561047420772	0.322109767572935	1	0.00684243753048815	0.00377835544516635	0.0698287494475288	0.989121163186368	4.96176683891408e-10	9.89250381697829e-06	0.0276402479438435	1	0.0324091523043791	0.0260956327385756	0.130922456755975
1001	0.668712950592603	3.20757886359344e-16	8.48803679165133e-08	2.18157305335244e-05	1	0.0616487043638637	0.0413305413013994	0.231454499202258	1	0.00193103555506733	0.00107718712543697	0.044719131986836	0.925202060058079	6.45227420698253e-12	5.45082661560719e-07	0.0142825718575434	1	0.0334445572326829	0.0152150272383537	0.110022103536104
1101	0.615933375598007	2.73217760262028e-16	5.19197628742554e-08	9.49012150639861e-07	1	0.0540121057517364	0.0355985558955561	0.203077816187508	1	0.000912188017087395	0.000114919122087466	0.0413293356992776	0.854428206145471	6.09169048981098e-14	1.72358823361879e-07	0.00573835482867142	1	0.0310437769282346	0.0106016693543028	0.0827869192444616
1201	0.572964163998148	2.81977390575692e-16	9.58357009217139e-08	2.69113579977179e-07	1	0.059506400928538	0.0328855200385778	0.15169743287886	1	6.37978120624526e-05	1.01120815750853e-05	0.0244596910011321	0.812980274907712	5.69893445872375e-16	1.75896786897035e-07	0.00144668635217092	1	0.0271639036782838	0.00415738425604499	0.0513660855999387
1301	0.544376681099435	2.82353162338015e-16	4.46330208464149e-08	3.05437397836401e-07	1	0.0538694060615526	0.0309313658253487	0.139582035534623	1	2.2249349173923e-07	6.00937385732905e-07	0.0154447071797759	0.793020514973157	4.70329100493951e-16	1.09553116246054e-07	0.00023220612432063	1	0.0144934979930044	0.00331478407431306	0.0485523175893603
1401	0.535012272632621	2.68889541685056e-16	3.43620315694812e-08	2.57988298591296e-07	1	0.0430860003637215	0.0269985187111122	0.128344236478659	0.942415825507506	1.6089005162717e-09	1.98335406182002e-07	0.00866027109194701	0.746935900417201	4.52309634496291e-16	1.20772663904176e-07	1.52512794363645e-05	1	0.0108129769923606	0.00374763871371488	0.0372926840259486
